N,R,T,M,A,$\langle d \rangle$,S_am,max,$s_a$,$s_g$
536577,0.33003751967646516,0.00025931833812244993,0.3828528542273436,0.20335096548485102,4.318989898989899,9900,86,-0.12395488095280785,0.34985418555714226
535185,0.5185391585778361,0.03398788191721895,0.5761027216495441,0.16190090109017843,4.504747474747475,9900,159,0.41610389881169974,0.34793543872052646
535411,0.5041973242764161,0.00024367752749772904,0.38408242376963436,0.20319395595537032,4.311010101010101,9900,82,-0.11035305585429357,0.30083408286676394
533439,0.79841912869442,0.0002258622785563511,0.38628729246855165,0.20331837688576557,4.3983,10000,86,-0.09372934738576881,0.3789214508557247
533414,0.798390182581056,0.00022780009662291302,0.38625000972011503,0.20380141585241668,4.341818181818182,9900,84,-0.0895205002906816,0.3238738366620981
538210,0.02903488144498998,0.00028387509588598844,0.38062506191961903,0.20326080364048324,4.345749158249158,9504,85,-0.13363551701110468,0.3644502137866123
533319,0.8101899967745759,0.03588846961869405,0.5748675426526622,0.11863032588991114,4.5102,10000,174,0.6392534155783234,1.0366205682498666
538029,0.055172532619512986,0.03773426054757606,0.5786548661887713,0.13373167372454045,4.6234375,9600,187,0.7165006826357713,1.0605790218891262
533209,0.8100488500122677,0.03562553649769543,0.5733898014509892,0.11723276132551678,4.497040816326531,9800,167,0.6640385284533724,1.0630000926278453
538100,0.02903364089727438,0.00028362227268777663,0.3808413373058104,0.20313258536687323,4.381983096268811,9702,90,-0.13485424103330204,0.3438443896344841
537987,0.05526267908684661,0.03796517677384865,0.5783466505868626,0.1310174189404319,4.598265306122449,9800,179,0.7617173913093854,1.1267160011619293
535707,0.44885304471761,0.0002489061632791552,0.3835767395094516,0.20303949267692886,4.337006427915519,9801,81,-0.11573197286967588,0.33032112177102135
535690,0.4488438095290605,0.00024597521957748407,0.3836211776718258,0.20310948566258857,4.335204081632653,9800,86,-0.11168355379704993,0.3362776679525817
537486,0.14794510162842564,0.0002730908091734939,0.3814325297523887,0.20278509848670248,4.290237744582369,9506,85,-0.12999308277850927,0.32940987712874636
535477,0.46419696589596493,0.03609664600324709,0.5755469884360511,0.12926360115912464,4.591424448567306,9702,188,0.7992159716071093,1.1886209292859402
537286,0.1701866059441533,0.03747609574705413,0.5767939204282674,0.13203539120262184,4.495055754260467,9506,189,0.8249366024412972,1.2359940098313547
535536,0.4638232853562991,0.03632606706878402,0.5762856450561964,0.12389438618347204,4.558163265306122,9800,186,0.8561306319052274,1.3551141332363026
537609,0.14791326090372522,0.0002725144178993879,0.38151696258351186,0.20324716967212855,4.3545,10000,89,-0.1292951087196394,0.35977501019704944
537377,0.17041900188287576,0.037726541082976024,0.5766321028376448,0.12864826510997435,4.662337662337662,9702,175,0.8762899402711419,1.2958917418733702
533021,0.8551540622424141,0.034003522811648805,0.5711540294974508,0.1454474277739218,4.555353535353535,9900,150,0.418523892364091,0.49307617502473977
532975,0.8553786013789377,0.03457320175449866,0.5716856821360453,0.14274691623578595,4.5669,10000,143,0.427533480283273,0.5377761620950676
534458,0.63529633928153,0.03421470421118453,0.5766138698072755,0.15436008569927642,4.449696969696969,9900,163,0.43380691629152607,0.47485212035450347
533013,0.8436504632756524,0.0002246290422111838,0.3864956014856962,0.20312900116229984,4.35455565758596,9801,85,-0.08890842553234003,0.33594581011568064
534558,0.6224370973388873,0.0002347742421641783,0.38502921442370525,0.20393577286700224,4.3417,10000,88,-0.10506906142252759,0.3378325314529596
533043,0.8436506011142876,0.00022517113947918542,0.38642392709608114,0.20332662887372965,4.378989898989899,9900,83,-0.08939890760457991,0.33031422086181356
534527,0.6352471308888111,0.03414228258123578,0.5741037398879585,0.1512747246686127,4.496363636363636,9900,143,0.47352284451776266,0.5495619118039905
534597,0.6226442688073925,0.00023648195769167496,0.3849412897314929,0.20344701825301142,4.316020408163265,9800,88,-0.10474557637984691,0.3314869238949796
537178,0.2109923554692992,0.00026617079321499096,0.3820187823934758,0.20339690543776207,4.409090909090909,9900,86,-0.1272266143276587,0.3721155667489967
537208,0.21119759719691353,0.0002641958159296334,0.38194562146268485,0.2029383244544873,4.3597,10000,82,-0.1258367902257026,0.3310392037584989
533183,0.8416788194396584,0.00022588420410502946,0.3865349666070385,0.2031670934310605,4.357171717171717,9900,84,-0.09048547250019984,0.3498385242858037
537246,0.21118946471744457,0.00026678398703870656,0.3819450916280023,0.20324508901505436,4.354646464646464,9900,89,-0.12611865909516934,0.3391154348299331
533047,0.8416600733852894,0.00022250396220053556,0.3864955203404913,0.20287857442202428,4.3562,10000,82,-0.08775060656104725,0.3711074559331406
537249,0.2112083486104487,0.0002689034407433961,0.3820057742828418,0.20338274842215426,4.3207908163265305,9408,88,-0.12872181569967758,0.35392174166211976
533146,0.8416803356646441,0.00022301484248258703,0.38656710739512934,0.20297080220633731,4.403535353535354,9900,89,-0.08905028310401046,0.3227418067760407
533132,0.8416852978555065,0.00022408602849852924,0.3865001477585806,0.20332996805181008,4.358686868686869,9900,86,-0.08932624652701279,0.32686093593199045
